Letter,Frequency,Percentage,Count of word with Letter,Percentage of word with Letter
ক্ষ,2282,6.4432,2190,0.0278
ন্ত,2095,5.9152,1579,0.0200
ন্দ,1515,4.2776,1042,0.0132
স্ত,1480,4.1788,1074,0.0136
স্ব,1280,3.6141,1275,0.0162
ষ্ট,1243,3.5096,1105,0.0140
ক্ত,1215,3.4306,1188,0.0151
ঙ্গ,1164,3.2866,1134,0.0144
দ্ধ,1084,3.0607,1071,0.0136
ত্ত,1054,2.9760,1037,0.0132
স্থ,800,2.2588,743,0.0094
ন্ধ,754,2.1289,645,0.0082
ণ্ড,692,1.9539,664,0.0084
জ্ঞ,648,1.8296,641,0.0081
চ্ছ,622,1.7562,601,0.0076
শ্ব,610,1.7223,582,0.0074
ন্ন,610,1.7223,583,0.0074
দ্ব,588,1.6602,530,0.0067
ঞ্চ,569,1.6066,564,0.0072
ত্ম,568,1.6037,532,0.0067
প্ত,537,1.5162,533,0.0068
ঞ্জ,480,1.3553,478,0.0061
ম্ব,475,1.3412,469,0.0060
ষ্ঠ,474,1.3383,467,0.0059
ম্প,446,1.2593,366,0.0046
ল্প,430,1.2141,420,0.0053
স্ট,409,1.1548,319,0.0040
ত্ব,380,1.0729,377,0.0048
ঙ্ক,374,1.0560,372,0.0047
ম্ভ,347,0.9798,326,0.0041
ল্ল,344,0.9713,341,0.0043
ন্ড,342,0.9656,327,0.0041
স্প,306,0.8640,296,0.0038
স্ক,305,0.8612,284,0.0036
গ্ন,297,0.8386,280,0.0036
ন্ম,286,0.8075,283,0.0036
ধ্ব,260,0.7341,221,0.0028
স্হ,259,0.7313,253,0.0032
স্ম,249,0.7031,249,0.0032
ব্দ,241,0.6805,239,0.0030
স্ন,227,0.6409,224,0.0028
জ্জ,218,0.6155,216,0.0027
ক্ল,216,0.6099,210,0.0027
ন্ট,209,0.5901,195,0.0025
ম্ম,194,0.5478,194,0.0025
ষ্ণ,188,0.5308,181,0.0023
ষ্প,186,0.5252,167,0.0021
প্ল,184,0.5195,172,0.0022
চ্চ,181,0.5111,179,0.0023
ন্ব,174,0.4913,174,0.0022
ত্ত্ব,167,0.4715,167,0.0021
দ্ভ,157,0.4433,152,0.0019
শ্চ,156,0.4405,156,0.0020
দ্দ,151,0.4263,149,0.0019
ণ্ঠ,149,0.4207,145,0.0018
ত্ন,148,0.4179,147,0.0019
ন্থ,147,0.4151,147,0.0019
ঙ্ক্ষ,145,0.4094,145,0.0018
ট্ট,143,0.4038,139,0.0018
ক্ক,140,0.3953,136,0.0017
হ্ম,139,0.3925,139,0.0018
ষ্ক,134,0.3783,115,0.0015
গ্ধ,133,0.3755,128,0.0016
ক্স,132,0.3727,131,0.0017
দ্গ,113,0.3191,107,0.0014
হ্ন,107,0.3021,103,0.0013
ন্স,106,0.2993,106,0.0013
শ্ল,104,0.2936,104,0.0013
স্ফ,104,0.2936,104,0.0013
ব্ধ,99,0.2795,99,0.0013
ণ্ট,99,0.2795,96,0.0012
শ্ম,93,0.2626,93,0.0012
জ্ব,89,0.2513,85,0.0011
ন্ঠ,86,0.2428,85,0.0011
ত্স,80,0.2259,79,0.0010
প্ন,76,0.2146,76,0.0010
দ্ম,75,0.2118,75,0.0010
হ্ব,73,0.2061,73,0.0009
ঙ্খ,71,0.2005,70,0.0009
ত্থ,68,0.1920,65,0.0008
ম্ন,64,0.1807,64,0.0008
ক্ষ্ম,64,0.1807,62,0.0008
ঘ্ন,57,0.1609,56,0.0007
প্স,54,0.1525,54,0.0007
ল্ক,53,0.1496,52,0.0007
ঞ্ছ,51,0.1440,51,0.0006
ব্ল,49,0.1384,35,0.0004
ত্ক,49,0.1384,44,0.0006
ন্হ,49,0.1384,49,0.0006
ক্ট,48,0.1355,48,0.0006
ব্ব,47,0.1327,47,0.0006
ম্ল,47,0.1327,47,0.0006
ষ্ম,46,0.1299,46,0.0006
ত্প,46,0.1299,44,0.0006
ঙ্ঘ,44,0.1242,37,0.0005
চ্ছ্ব,40,0.1129,40,0.0005
গ্ব,38,0.1073,38,0.0005
ড্ড,37,0.1045,34,0.0004
জ্জ্ব,36,0.1016,36,0.0005
ক্ব,35,0.0988,35,0.0004
ফ্ল,34,0.0960,24,0.0003
প্প,33,0.0932,33,0.0004
ম্ফ,33,0.0932,33,0.0004
শ্ন,29,0.0819,29,0.0004
ল্ম,25,0.0706,25,0.0003
ল্ড,24,0.0678,22,0.0003
স্ল,24,0.0678,21,0.0003
গ্ল,22,0.0621,16,0.0002
ঞ্ঝ,21,0.0593,21,0.0003
গ্ম,20,0.0565,20,0.0003
ন্দ্ব,20,0.0565,20,0.0003
ক্ষ্ণ,20,0.0565,19,0.0002
হ্ল,20,0.0565,20,0.0003
জ্ম,18,0.0508,18,0.0002
ক্প,18,0.0508,10,0.0001
দ্ঘ,17,0.0480,17,0.0002
ল্ট,17,0.0480,15,0.0002
স্খ,17,0.0480,17,0.0002
ল্গ,16,0.0452,16,0.0002
ব্জ,15,0.0424,15,0.0002
ঙ্ম,15,0.0424,15,0.0002
গ্জ,15,0.0424,13,0.0002
গ্দ,14,0.0395,14,0.0002
ল্ব,13,0.0367,13,0.0002
ণ্ণ,13,0.0367,13,0.0002
ষ্ন,12,0.0339,12,0.0002
ঙ্ক্ত,12,0.0339,12,0.0002
গ্গ,11,0.0311,11,0.0001
থ্ব,10,0.0282,10,0.0001
গ্ভ,10,0.0282,8,0.0001
ণ্ন,9,0.0254,9,0.0001
প্ট,9,0.0254,9,0.0001
ট্স,9,0.0254,6,0.0001
ড়্গ,9,0.0254,9,0.0001
ষ্ব,9,0.0254,9,0.0001
ণ্ম,8,0.0226,8,0.0001
ধ্ন,7,0.0198,7,0.0001
ণ্ব,7,0.0198,7,0.0001
ঙ্ন,7,0.0198,7,0.0001
ট্ক,7,0.0198,7,0.0001
ফ্ট,6,0.0169,6,0.0001
খ্ত,6,0.0169,6,0.0001
ক্খ,6,0.0169,6,0.0001
গ্ণ,6,0.0169,6,0.0001
