Letter,Frequency,Percentage,Count of word with Letter,Percentage of word with Letter
া,39737,12.6629,29540,0.9041
ি,22508,7.1726,18917,0.5790
ন,15622,4.9782,13845,0.4237
র,14142,4.5066,22338,0.6837
ত,14002,4.4620,12642,0.3869
ক,13835,4.4088,12335,0.3775
ব,13429,4.2794,12063,0.3692
ম,11199,3.5688,10305,0.3154
প,10507,3.3482,9697,0.2968
ু,10046,3.2013,8995,0.2753
স,9518,3.0331,8677,0.2656
ল,9298,2.9630,8631,0.2642
ে,7565,2.4107,6901,0.2112
ী,7544,2.4040,7170,0.2194
ো,7262,2.3142,6749,0.2066
দ,7208,2.2970,6724,0.2058
্র,6891,2.1959,6594,0.2018
শ,6402,2.0401,6060,0.1855
র্,5951,1.8964,5830,0.1784
্য,5671,1.8072,5837,0.1786
গ,5628,1.7935,5335,0.1633
হ,5260,1.6762,5095,0.1559
য়,5012,1.5972,4918,0.1505
জ,4837,1.5414,4588,0.1404
অ,4087,1.3024,4077,0.1248
চ,4041,1.2877,3779,0.1157
ণ,3837,1.2227,3733,0.1142
ট,3800,1.2109,3403,0.1042
ভ,3749,1.1947,3608,0.1104
ধ,3467,1.1048,3351,0.1026
খ,2631,0.8384,2470,0.0756
ড়,2130,0.6788,1917,0.0587
ূ,2098,0.6686,2059,0.0630
ঁ,2052,0.6539,1897,0.0581
ং,1926,0.6138,1889,0.0578
আ,1864,0.5940,1827,0.0559
ষ,1832,0.5838,1804,0.0552
য,1635,0.5210,6772,0.2073
থ,1624,0.5175,1560,0.0477
ৃ,1461,0.4656,1436,0.0439
ই,1352,0.4308,1313,0.0402
ফ,1304,0.4155,1229,0.0376
উ,1188,0.3786,1171,0.0358
ড,1141,0.3636,1082,0.0331
ঘ,1069,0.3407,1009,0.0309
ছ,935,0.2980,882,0.0270
ঠ,711,0.2266,666,0.0204
ৌ,689,0.2196,687,0.0210
ৎ,680,0.2167,680,0.0208
ৈ,673,0.2145,667,0.0204
ও,573,0.1826,563,0.0172
এ,547,0.1743,535,0.0164
ঝ,534,0.1702,463,0.0142
ঙ,249,0.0793,243,0.0074
ঃ,247,0.0787,245,0.0075
ঢ,242,0.0771,213,0.0065
ঢ়,83,0.0264,83,0.0025
ঋ,83,0.0264,83,0.0025
ঐ,43,0.0137,43,0.0013
ঈ,39,0.0124,39,0.0012
 ,38,0.0121,28,0.0009
ঊ,35,0.0112,35,0.0011
ঔ,30,0.0096,30,0.0009
ঞ,13,0.0041,13,0.0004
