Letter,Frequency,Percentage
র,480,8.5516
ন,450,8.0171
ক,339,6.0396
ম,327,5.8258
ল,301,5.3626
স,276,4.9172
ব,274,4.8815
ত,239,4.2580
প,217,3.8660
গ,183,3.2603
অ,170,3.0287
জ,165,2.9396
ট,160,2.8505
শ,152,2.7080
দ,151,2.6902
হ,145,2.5833
আ,138,2.4586
ং,124,2.2092
চ,115,2.0488
উ,107,1.9063
য়,103,1.8350
ড়,98,1.7459
ই,97,1.7281
খ,96,1.7103
ণ,77,1.3718
ভ,63,1.1224
এ,59,1.0511
থ,50,0.8908
ফ,50,0.8908
ও,48,0.8552
ধ,46,0.8195
ঘ,44,0.7839
ৎ,40,0.7126
ছ,31,0.5523
ঠ,30,0.5345
য,29,0.5167
ঝ,29,0.5167
ঃ,27,0.4810
ড,22,0.3919
ষ,19,0.3385
ঢ,15,0.2672
ঙ,6,0.1069
ঋ,5,0.0891
ঈ,5,0.0891
ঊ,4,0.0713
ঔ,4,0.0713
ঐ,2,0.0356
ঢ়,1,0.0178
